sweep,algo,n,W,seed,reps,ms_mediana,ms_min,mem_bytes
n,base,1000,1000,1042,7,1.590,1.270,8016008
n,rolling,1000,1000,1042,7,0.485,0.451,8008
n,base,2000,1000,2042,7,2.685,2.645,16024008
n,rolling,2000,1000,2042,7,0.916,0.906,8008
n,base,3000,1000,3042,7,3.948,3.930,24032008
n,rolling,3000,1000,3042,7,1.337,1.316,8008
n,base,4000,1000,4042,7,5.237,5.197,32040008
n,rolling,4000,1000,4042,7,1.766,1.759,8008
n,base,5000,1000,5042,7,6.526,6.474,40048008
n,rolling,5000,1000,5042,7,2.183,2.166,8008
n,base,6000,1000,6042,7,7.827,7.790,48056008
n,rolling,6000,1000,6042,7,2.634,2.611,8008
n,base,7000,1000,7042,7,9.190,9.064,56064008
n,rolling,7000,1000,7042,7,3.139,3.076,8008
n,base,8000,1000,8042,7,10.789,10.620,64072008
n,rolling,8000,1000,8042,7,3.485,3.378,8008
n,base,9000,1000,9042,7,12.060,11.931,72080008
n,rolling,9000,1000,9042,7,3.911,3.888,8008
n,base,10000,1000,10042,7,13.130,12.978,80088008
n,rolling,10000,1000,10042,7,4.371,4.345,8008
