sweep,algo,n,W,seed,reps,ms_mediana,ms_min,mem_bytes
W,base,1000,1000,1042,7,1.558,1.279,8016008
W,rolling,1000,1000,1042,7,0.474,0.443,8008
W,base,1000,2000,2042,7,2.601,2.567,16024008
W,rolling,1000,2000,2042,7,0.953,0.950,16008
W,base,1000,3000,3042,7,3.612,3.603,24032008
W,rolling,1000,3000,3042,7,1.369,1.361,24008
W,base,1000,4000,4042,7,4.715,4.644,32040008
W,rolling,1000,4000,4042,7,1.776,1.767,32008
W,base,1000,5000,5042,7,5.214,5.185,40048008
W,rolling,1000,5000,5042,7,2.258,2.238,40008
W,base,1000,6000,6042,7,6.157,6.127,48056008
W,rolling,1000,6000,6042,7,2.710,2.705,48008
W,base,1000,7000,7042,7,7.075,7.046,56064008
W,rolling,1000,7000,7042,7,3.164,3.145,56008
W,base,1000,8000,8042,7,8.205,8.036,64072008
W,rolling,1000,8000,8042,7,3.632,3.613,64008
W,base,1000,9000,9042,7,9.160,9.009,72080008
W,rolling,1000,9000,9042,7,4.070,4.057,72008
W,base,1000,10000,10042,7,10.166,10.101,80088008
W,rolling,1000,10000,10042,7,4.505,4.483,80008
