sweep,algo,n,W,seed,reps,ms_mediana,ms_min,mem_bytes
n,base,1000,1000,1042,7,1.622,1.387,8016008
n,rolling,1000,1000,1042,7,1.209,0.450,8008
n,base,2000,1000,2042,7,2.975,2.603,16024008
n,rolling,2000,1000,2042,7,0.921,0.913,8008
n,base,3000,1000,3042,7,4.050,3.947,24032008
n,rolling,3000,1000,3042,7,1.353,1.336,8008
n,base,4000,1000,4042,7,5.790,5.348,32040008
n,rolling,4000,1000,4042,7,1.808,1.774,8008
n,base,5000,1000,5042,7,6.847,6.571,40048008
n,rolling,5000,1000,5042,7,2.223,2.201,8008
n,base,6000,1000,6042,7,8.236,7.903,48056008
n,rolling,6000,1000,6042,7,2.656,2.611,8008
n,base,7000,1000,7042,7,9.372,9.107,56064008
n,rolling,7000,1000,7042,7,3.180,3.101,8008
n,base,8000,1000,8042,7,10.560,10.357,64072008
n,rolling,8000,1000,8042,7,3.527,3.477,8008
n,base,9000,1000,9042,7,12.183,11.833,72080008
n,rolling,9000,1000,9042,7,3.938,3.871,8008
n,base,10000,1000,10042,7,13.232,12.948,80088008
n,rolling,10000,1000,10042,7,4.375,4.346,8008
W,base,1000,1000,1042,7,1.566,1.265,8016008
W,rolling,1000,1000,1042,7,1.115,0.441,8008
W,base,1000,2000,2042,7,2.613,2.584,16024008
W,rolling,1000,2000,2042,7,0.950,0.940,16008
W,base,1000,3000,3042,7,3.634,3.593,24032008
W,rolling,1000,3000,3042,7,1.375,1.364,24008
W,base,1000,4000,4042,7,4.889,4.659,32040008
W,rolling,1000,4000,4042,7,1.789,1.774,32008
W,base,1000,5000,5042,7,5.223,5.205,40048008
W,rolling,1000,5000,5042,7,2.343,2.238,40008
W,base,1000,6000,6042,7,6.223,6.126,48056008
W,rolling,1000,6000,6042,7,2.717,2.709,48008
W,base,1000,7000,7042,7,7.136,7.039,56064008
W,rolling,1000,7000,7042,7,3.249,3.169,56008
W,base,1000,8000,8042,7,8.072,8.014,64072008
W,rolling,1000,8000,8042,7,3.646,3.625,64008
W,base,1000,9000,9042,7,9.142,8.984,72080008
W,rolling,1000,9000,9042,7,4.081,4.043,72008
W,base,1000,10000,10042,7,10.397,10.094,80088008
W,rolling,1000,10000,10042,7,4.656,4.576,80008
n,gurobi,1000,1000,1042,3,3.405,3.378,0
n,gurobi,2000,1000,2042,3,8.169,8.156,0
n,gurobi,3000,1000,3042,3,10.620,10.472,0
n,gurobi,4000,1000,4042,3,15.519,15.502,0
n,gurobi,5000,1000,5042,3,14.515,14.082,0
n,gurobi,6000,1000,6042,3,13.836,13.781,0
n,gurobi,7000,1000,7042,3,21.891,15.508,0
n,gurobi,8000,1000,8042,3,28.860,28.352,0
n,gurobi,9000,1000,9042,3,26.540,26.465,0
n,gurobi,10000,1000,10042,3,20.353,19.933,0
W,gurobi,1000,1000,1042,3,3.334,3.290,0
W,gurobi,1000,2000,2042,3,5.061,4.902,0
W,gurobi,1000,3000,3042,3,5.340,4.593,0
W,gurobi,1000,4000,4042,3,5.433,5.264,0
W,gurobi,1000,5000,5042,3,4.772,4.418,0
W,gurobi,1000,6000,6042,3,4.989,4.578,0
W,gurobi,1000,7000,7042,3,4.560,4.376,0
W,gurobi,1000,8000,8042,3,4.556,4.544,0
W,gurobi,1000,9000,9042,3,6.541,6.220,0
W,gurobi,1000,10000,10042,3,5.192,4.858,0
